,zipcode,<20,20-29,30-39,40-49,50-59,60-69,70-79,80+,White,Black,Left Blank,Other,Asian,Hispanic,NH/PI*,AI/AN**,Male,Female,Unknown/Left Blank,county
0,60002,0,0,0,8,6,0,0,0,7,0,13,0,0,0,0,0,13,14,0,Lake
1,60004,0,8,0,9,12,10,0,0,21,0,15,0,6,0,0,0,28,20,0,Cook
2,60005,0,0,6,6,6,0,0,0,8,0,9,0,0,6,0,0,17,16,0,Cook
3,60007,0,0,6,0,14,8,9,0,20,0,14,0,0,7,0,0,23,22,0,Cook
4,60008,0,0,0,0,0,0,0,0,14,0,0,0,0,6,0,0,16,11,0,Cook
5,60010,0,0,0,0,0,7,0,0,14,0,10,0,0,0,0,0,12,15,0,Lake
6,60012,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,8,7,0,McHenry
7,60013,0,0,6,0,7,9,0,0,19,0,6,0,0,0,0,0,12,18,0,McHenry
8,60014,0,0,6,0,6,6,0,0,20,0,0,0,0,0,0,0,11,18,0,McHenry
9,60015,0,12,0,11,13,7,9,8,46,0,9,7,0,0,0,0,30,34,0,Lake
10,60016,0,23,32,30,33,25,11,15,40,8,48,38,22,13,0,0,88,82,0,Cook
11,60018,0,12,12,12,12,11,6,0,15,6,19,6,0,16,0,0,36,30,0,Cook
12,60020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lake
13,60021,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,McHenry
14,60022,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,8,7,0,Cook
15,60025,0,18,0,28,37,15,10,14,78,0,13,14,15,0,0,0,58,67,0,Cook
16,60026,0,0,7,9,9,0,0,14,28,0,7,7,7,0,0,0,20,32,0,Cook
17,60030,0,7,0,0,7,0,0,0,14,0,8,0,0,0,0,0,14,17,0,Lake
18,60031,0,14,8,10,22,6,0,0,23,0,14,8,0,11,0,0,27,36,0,Lake
19,60035,0,12,10,19,16,11,6,15,64,0,12,7,0,0,0,0,56,33,0,Lake
20,60040,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,Lake
21,60042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,McHenry
22,60043,0,0,0,0,7,0,0,0,11,0,0,0,0,0,0,0,8,0,0,Cook
23,60044,0,0,0,0,0,0,7,10,14,0,0,0,0,0,0,0,17,12,0,Lake
24,60045,0,0,0,10,20,12,0,10,45,0,16,0,0,0,0,0,31,38,0,Lake
25,60046,0,0,6,7,14,7,0,0,22,0,7,0,0,7,0,0,26,18,0,Lake
26,60047,0,0,0,0,0,0,0,12,27,0,6,0,0,0,0,0,18,17,0,Lake
27,60048,0,7,0,11,9,6,0,0,26,0,7,0,0,0,0,0,22,19,0,Lake
28,60050,0,0,0,8,0,0,7,0,17,0,0,0,0,6,0,0,15,13,0,McHenry
29,60051,0,0,0,0,0,6,0,0,11,0,0,0,0,0,0,0,10,8,0,McHenry
30,60053,0,0,16,16,15,12,0,0,22,0,15,13,14,0,0,0,45,22,0,Cook
31,60056,0,10,20,15,22,11,7,0,26,0,28,7,12,15,0,0,45,43,0,Cook
32,60060,0,8,6,11,14,13,0,0,17,0,8,0,0,17,0,0,26,27,0,Lake
33,60061,0,0,0,0,11,0,0,7,23,0,7,0,0,0,0,0,20,16,0,Lake
34,60062,0,15,0,12,16,13,8,7,44,0,14,7,0,0,0,0,39,34,0,Cook
35,60064,8,15,9,11,17,13,0,0,16,18,17,6,0,23,0,0,35,46,0,Lake
36,60067,0,6,0,0,0,0,0,0,12,0,0,0,0,0,0,0,10,14,0,Cook
37,60068,0,0,15,14,9,16,7,23,57,0,12,6,9,0,0,0,46,42,0,Cook
38,60069,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,9,7,0,Lake
39,60070,0,0,0,7,0,0,0,0,0,0,0,0,0,8,0,0,11,8,0,Cook
