Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Kentucky,US,4/14/2020 23:33,37.6681,-84.6701,2048,106,629,1942,21,59.82526233,26683,673,5.17578125,84000021,USA,779.4518919,32.86132813
Louisiana,US,4/14/2020 23:33,31.1695,-91.8678,21518,1013,,20505,22,468.0607996,118422,1977,4.707686588,84000022,USA,2575.922298,9.187656845
Maine,US,4/14/2020 23:33,44.6939,-69.3819,735,20,292,715,23,62.60615363,12342,124,2.721088435,84000023,USA,1051.27231,16.8707483
Maryland,US,4/14/2020 23:33,39.0639,-76.8021,9472,302,607,9170,24,159.371801,53733,2122,3.18834459,84000024,USA,904.0883612,22.4028716
Massachusetts,US,4/14/2020 23:33,42.2302,-71.5301,28164,844,,27320,25,410.3283151,126551,2340,2.996733419,84000025,USA,1843.752968,8.308478909
Michigan,US,4/14/2020 23:33,43.3266,-84.5361,27001,1768,452,25233,26,338.8994885,86226,3910,6.547905633,84000026,USA,1082.254261,14.48094515
Minnesota,US,4/14/2020 23:33,45.6945,-93.9002,1695,79,909,1616,27,34.26702728,39241,405,4.660766962,84000027,USA,793.3170604,23.89380531
Mississippi,US,4/14/2020 23:33,32.7416,-89.6787,3087,111,,2976,28,106.6245373,37878,596,3.595724004,84000028,USA,1308.300687,19.30677033
Missouri,US,4/14/2020 23:33,38.4561,-92.2884,4746,149,,4597,29,80.99728029,47978,1041,3.139485883,84000029,USA,818.8132141,21.93426043
Montana,US,4/14/2020 23:33,46.9219,-110.4544,399,7,197,392,30,46.07459465,9234,50,1.754385965,84000030,USA,1066.297762,12.53132832
Nebraska,US,4/14/2020 23:33,41.1254,-98.2681,897,20,,877,31,58.80918289,11357,,2.229654404,84000031,USA,744.5885062,
Nevada,US,4/14/2020 23:33,38.3135,-117.0554,3134,126,,3008,32,103.8884581,26661,,4.020421187,84000032,USA,883.7811686,
New Hampshire,US,4/14/2020 23:33,43.4525,-71.5639,922,25,249,897,33,69.41997428,11610,152,2.711496746,84000033,USA,874.1495677,16.48590022
New Jersey,US,4/14/2020 23:33,40.2989,-74.521,68824,2805,,66019,34,774.8539493,139774,8185,4.075613158,84000034,USA,1573.643437,11.89265373
New Mexico,US,4/14/2020 23:33,34.8405,-106.2485,1345,31,304,1314,35,80.65807393,31970,181,2.304832714,84000035,USA,1917.203438,13.45724907
New York,US,4/14/2020 23:33,42.1657,-74.9481,203020,10842,23887,192178,36,1204.078637,499143,46201,5.340360556,84000036,USA,2960.336041,22.75687124
North Carolina,US,4/14/2020 23:33,35.6301,-79.8064,5113,112,,5001,37,51.55338215,65039,418,2.190494817,84000037,USA,655.7755568,8.175239585
North Dakota,US,4/14/2020 23:33,47.5289,-99.784,341,8,138,333,38,56.23184008,10916,42,2.346041056,84000038,USA,1800.078494,12.31671554
Northern Mariana Islands,US,4/14/2020 23:33,15.0979,145.6739,11,2,,9,69,19.9477731,40,,18.18181818,580,MNP,72.53735674,
Ohio,US,4/14/2020 23:33,40.3888,-82.7649,7285,324,,6961,39,65.19680755,67874,2156,4.447494852,84000039,USA,607.4355684,29.59505834
Oklahoma,US,4/14/2020 23:33,35.5653,-96.9289,2184,108,1060,2076,40,59.71073104,28269,488,4.945054945,84000040,USA,772.8766738,22.34432234
Oregon,US,4/14/2020 23:33,44.572,-122.0709,1633,55,,1578,41,40.75292845,32363,381,3.368034293,84000041,USA,807.6466769,23.3312921
Pennsylvania,US,4/14/2020 23:33,40.5908,-77.2098,25465,691,,24774,42,202.3039211,133631,2317,2.713528372,84000042,USA,1061.616936,9.098763008
Puerto Rico,US,4/14/2020 23:33,18.2208,-66.5901,923,45,,878,72,31.46510816,7207,,4.875406284,630,PRI,245.686928,
Rhode Island,US,4/14/2020 23:33,41.6809,-71.5118,3251,80,135,3171,44,306.8831116,22900,331,2.460781298,84000044,USA,2161.680485,10.18148262
South Carolina,US,4/14/2020 23:33,33.8569,-80.945,3553,97,,3456,45,70.49638143,33872,675,2.73008725,84000045,USA,672.0668257,18.99802983
South Dakota,US,4/14/2020 23:33,44.2998,-99.4388,988,6,261,982,46,134.2588315,9296,45,0.607287449,84000046,USA,1263.228843,4.55465587
Tennessee,US,4/14/2020 23:33,35.7478,-86.6923,5827,124,1969,5703,47,88.75952809,78831,633,2.128024713,84000047,USA,1200.789833,10.86322293
Texas,US,4/14/2020 23:33,31.0545,-97.5635,15006,342,2580,14664,48,65.28730307,146467,1409,2.279088365,84000048,USA,637.2407983,9.389577502
Utah,US,4/14/2020 23:33,40.15,-111.8624,2417,18,218,2399,49,84.3370383,46476,213,0.744724866,84000049,USA,1621.699707,8.812577576
Vermont,US,4/14/2020 23:33,44.0459,-72.7107,752,29,15,723,50,123.1593653,10585,64,3.856382979,84000050,USA,1733.566332,8.510638298
Virgin Islands,US,4/14/2020 23:33,18.3358,-64.8963,51,1,44,50,78,47.54446806,377,,1.960784314,850,VIR,351.4561659,
Virginia,US,4/14/2020 23:33,37.7693,-78.17,6182,154,721,6028,51,78.18161354,42763,1282,2.491103203,84000051,USA,540.8088547,20.73762536
Washington,US,4/14/2020 23:33,47.4009,-121.4905,10799,530,,10269,53,143.0444235,93929,387,4.907861839,84000053,USA,1244.191097,3.583665154
West Virginia,US,4/14/2020 23:33,38.4912,-80.9545,640,9,147,631,54,48.37497865,17038,164,1.40625,84000054,USA,1287.832635,25.625
Wisconsin,US,4/14/2020 23:33,44.2685,-89.6165,3555,170,,3385,55,68.70134742,41552,1049,4.781997187,84000055,USA,803.0037659,29.50773558
Wyoming,US,4/14/2020 23:33,42.756,-107.3025,282,1,140,281,56,56.71305607,5964,43,0.354609929,84000056,USA,1199.420803,15.24822695
Alabama,US,4/13/2020 23:07,32.3182,-86.9023,3734,99,,3635,1,79.63493333,29182,457,2.651312266,84000001,USA,622.3638523,12.23888591
Alaska,US,4/13/2020 23:07,61.3707,-152.4044,277,8,85,269,2,46.34052085,7830,32,2.888086643,84000002,USA,1309.914362,11.55234657
American Samoa,US,4/13/2020 23:07,-14.271,-170.132,0,0,,,60,0,3,,,16,ASM,5.391707554,
Arizona,US,4/13/2020 23:07,33.7298,-111.4312,3705,122,,3583,4,50.90182789,43347,525,3.292847503,84000004,USA,595.5307783,14.17004049
Arkansas,US,4/13/2020 23:07,34.9697,-92.3731,1410,29,391,1381,5,54.46061397,20804,130,2.056737589,84000005,USA,803.5451156,9.219858156
California,US,4/13/2020 23:07,36.1162,-119.6816,23931,715,,23216,6,61.03504791,190882,3015,2.987756467,84000006,USA,486.8368231,12.59872132
Colorado,US,4/13/2020 23:07,39.0598,-105.3111,7691,306,,7385,8,135.7200246,37534,1472,3.978676375,84000008,USA,662.3476017,19.13925367
Connecticut,US,4/13/2020 23:07,41.5978,-72.7554,13381,602,,12779,9,375.3134039,44309,1760,4.498916374,84000009,USA,1242.78915,13.1529781
Delaware,US,4/13/2020 23:07,39.3185,-75.5071,1758,41,213,1717,10,180.5365571,11820,201,2.332195677,84000010,USA,1213.846476,11.4334471
Diamond Princess,US,4/13/2020 23:07,,,49,0,0,49,88888,,,,0,84088888,USA,,
District of Columbia,US,4/13/2020 23:07,38.8974,-77.0268,1955,52,507,1903,11,277.0106653,10934,295,2.659846547,84000011,USA,1549.276017,15.08951407
Florida,US,4/14/2020 0:42,27.7663,-81.6868,21019,499,,122520,12,579.3871935,196207,2833,0.405628399,84000012,USA,924.0834592,2.302896301
Georgia,US,4/13/2020 23:07,33.0406,-83.6431,13315,465,,12850,13,131.3194981,57021,2589,3.492301915,84000013,USA,562.3709427,19.44423582
Grand Princess,US,4/13/2020 23:07,,,103,0,0,103,99999,,,,0,84099999,USA,,
Guam,US,4/13/2020 23:07,13.4443,144.7937,133,5,58,128,66,80.98447899,905,12,3.759398496,316,GUM,551.0598006,9.022556391
Hawaii,US,4/13/2020 23:07,21.0943,-157.4983,504,9,310,495,15,35.59860035,18844,44,1.785714286,84000015,USA,1330.992113,8.73015873
Idaho,US,4/13/2020 23:07,44.2405,-114.4788,1426,27,,1399,16,88.54409539,14881,132,1.893408135,84000016,USA,924.0004794,9.256661992
Illinois,US,4/13/2020 23:07,40.3495,-88.9861,22025,798,,21227,17,187.6759649,105768,3680,3.623155505,84000017,USA,901.2536414,16.70828604
Indiana,US,4/13/2020 23:07,39.8494,-86.2583,8359,350,,8009,18,127.7354472,44539,,4.187103721,84000018,USA,680.6088147,
Iowa,US,4/13/2020 23:07,42.0115,-93.2105,1710,41,741,1669,19,65.24941877,18696,142,2.397660819,84000019,USA,713.3936452,8.304093567
Kansas,US,4/13/2020 23:07,38.5266,-96.7265,1390,62,,1328,20,57.002536,13864,309,4.460431655,84000020,USA,568.5490353,22.23021583
Kentucky,US,4/13/2020 23:07,37.6681,-84.6701,2018,113,607,1905,21,58.94891571,25866,667,5.599603568,84000021,USA,755.5860524,33.05252725
Louisiana,US,4/13/2020 23:07,31.1695,-91.8678,21016,884,,20132,22,457.1412661,108091,2134,4.206318995,84000022,USA,2351.201779,10.15416825
Maine,US,4/13/2020 23:07,44.6939,-69.3819,698,19,273,679,23,59.45455134,12306,124,2.722063037,84000023,USA,1048.205887,17.76504298
Maryland,US,4/13/2020 23:07,39.0639,-76.8021,8936,262,603,8674,24,150.3532949,51751,1975,2.931960609,84000024,USA,870.7400811,22.10161146
Massachusetts,US,4/13/2020 23:07,42.2302,-71.5301,26867,844,,26023,25,391.4319998,122049,2340,3.141400231,84000025,USA,1778.162212,8.70956936
Michigan,US,4/13/2020 23:07,43.3266,-84.5361,25635,1602,447,24033,26,321.7543198,82644,3986,6.249268578,84000026,USA,1037.295261,15.54905403
Minnesota,US,4/13/2020 23:07,45.6945,-93.9002,1621,70,842,1551,27,32.77100367,38427,361,4.318322023,84000027,USA,776.8608007,22.27020358
Mississippi,US,4/13/2020 23:07,32.7416,-89.6787,2942,98,,2844,28,101.616258,30984,549,3.331067301,84000028,USA,1070.182916,18.66077498
Missouri,US,4/13/2020 23:07,38.4561,-92.2884,4515,123,,4392,29,77.05493479,45428,988,2.724252492,84000029,USA,775.2938157,21.88261351
Montana,US,4/13/2020 23:07,46.9219,-110.4544,394,7,171,387,30,45.49721878,9098,47,1.776649746,84000030,USA,1050.593138,11.92893401
Nebraska,US,4/13/2020 23:07,41.1254,-98.2681,814,17,,797,31,53.36753051,10972,,2.088452088,84000031,USA,719.3471066,
Nevada,US,4/13/2020 23:07,38.3135,-117.0554,2990,114,,2876,32,99.11502547,25464,,3.81270903,84000032,USA,844.1020096,
New Hampshire,US,4/13/2020 23:07,43.4525,-71.5639,985,23,239,962,33,74.16342155,11207,152,2.335025381,84000033,USA,843.8065637,15.43147208
New Jersey,US,4/13/2020 23:07,40.2989,-74.521,64584,2443,,62141,34,727.1179743,129469,7781,3.78267063,84000034,USA,1457.624752,12.04787563
