,Area_name,all_ages_poverty_2018,all_ages_poverty_rate_2018,median_HH_2018
1486,Rankin County,"14,162",9.6,66296
1487,Scott County,"7,135",25.5,38034
1488,Sharkey County,"1,444",33.6,28887
1489,Simpson County,"5,200",19.8,38173
1490,Smith County,"2,660",16.8,46764
1491,Stone County,"3,378",20.1,44622
1492,Sunflower County,"7,041",32.6,31329
1493,Tallahatchie County,"3,852",33.4,32692
1494,Tate County,"4,827",17.6,48082
1495,Tippah County,"3,652",16.9,39833
1496,Tishomingo County,"2,912",15.2,41455
1497,Tunica County,"2,599",26.5,33143
1498,Union County,"3,779",13.4,46600
1499,Walthall County,"3,350",23.4,33566
1500,Warren County,"8,766",19.2,46049
1501,Washington County,"14,414",32.6,33991
1502,Wayne County,"4,318",21.4,37401
1503,Webster County,"1,764",18.1,43349
1504,Wilkinson County,"2,325",30.3,29900
1505,Winston County,"3,717",21.0,39498
1506,Yalobusha County,"2,208",18.1,39551
1507,Yazoo County,"8,417",37.1,33111
1508,Missouri,"785,343",13.2,54412
1509,Adair County,"5,356",23.9,40395
1510,Andrew County,"1,429",8.2,57459
1511,Atchison County,600,11.8,49122
1512,Audrain County,"3,883",16.7,44340
1513,Barry County,"6,658",18.8,42457
1514,Barton County,"2,057",17.6,41583
1515,Bates County,"2,267",14.2,45955
1516,Benton County,"3,834",20.2,40025
1517,Bollinger County,"1,871",15.6,44233
1518,Boone County,"28,584",16.8,55136
1519,Buchanan County,"13,117",15.6,52506
1520,Butler County,"8,567",20.5,38067
1521,Caldwell County,"1,281",14.4,47591
1522,Callaway County,"4,795",11.7,53970
1523,Camden County,"5,712",12.6,48580
1524,Cape Girardeau County,"10,334",13.8,51962
1525,Carroll County,"1,060",12.3,47049
1526,Carter County,"1,355",22.6,34134
1527,Cass County,"8,427",8.1,71374
1528,Cedar County,"2,502",17.9,37288
1529,Chariton County,967,13.4,48421
1530,Christian County,"7,388",8.6,58057
1531,Clark County,"1,001",14.9,46832
1532,Clay County,"17,153",7.0,68943
1533,Clinton County,"1,793",9.0,58641
1534,Cole County,"6,362",8.9,62817
1535,Cooper County,"2,242",14.0,52513
1536,Crawford County,"3,741",15.9,42774
1537,Dade County,"1,245",16.8,41381
1538,Dallas County,"2,750",16.6,38765
1539,Daviess County,"1,212",14.9,51255
1540,DeKalb County,"1,470",16.0,48920
1541,Dent County,"3,082",20.3,39392
1542,Douglas County,"2,593",19.7,36762
1543,Dunklin County,"7,462",26.1,37331
1544,Franklin County,"9,383",9.2,58738
1545,Gasconade County,"1,697",11.8,52282
1546,Gentry County,"1,007",15.5,43731
1547,Greene County,"43,423",15.5,44799
1548,Grundy County,"1,583",16.6,40315
1549,Harrison County,"1,277",15.5,40639
1550,Henry County,"3,606",16.8,44978
1551,Hickory County,"1,677",17.8,35025
1552,Holt County,572,13.3,47191
1553,Howard County,"1,233",13.1,45767
1554,Howell County,"8,371",21.3,36762
1555,Iron County,"1,966",19.9,37755
1556,Jackson County,"89,787",13.0,55864
1557,Jasper County,"19,498",16.6,46596
1558,Jefferson County,"19,327",8.7,65150
1559,Johnson County,"7,032",14.1,52151
1560,Knox County,640,16.6,39309
1561,Laclede County,"5,403",15.4,44562
1562,Lafayette County,"3,516",11.0,53389
1563,Lawrence County,"5,831",15.5,45074
1564,Lewis County,"1,405",15.4,48179
1565,Lincoln County,"6,055",10.6,62238
1566,Linn County,"1,976",16.7,44992
1567,Livingston County,"2,045",15.6,48749
1568,McDonald County,"4,083",17.9,40204
1569,Macon County,"2,064",13.9,45440
1570,Madison County,"1,982",16.6,40191
1571,Maries County,"1,205",13.9,46371
1572,Marion County,"3,686",13.5,49393
1573,Mercer County,439,12.2,46014
1574,Miller County,"4,204",16.9,47225
1575,Mississippi County,"3,069",26.8,34735
1576,Moniteau County,"1,723",11.7,57047
1577,Monroe County,"1,158",13.6,46216
1578,Montgomery County,"1,591",14.3,48951
1579,Morgan County,"3,250",16.3,45276
1580,New Madrid County,"3,089",18.3,38093
1581,Newton County,"9,144",16.0,49220
1582,Nodaway County,"3,715",19.8,46698
1583,Oregon County,"2,468",23.8,32720
1584,Osage County,"1,222",9.2,58855
1585,Ozark County,"1,962",22.0,34367
1586,Pemiscot County,"4,664",29.1,31831
1587,Perry County,"2,040",10.9,53871
1588,Pettis County,"6,885",16.6,45254
1589,Phelps County,"7,517",18.1,43079
1590,Pike County,"2,557",15.9,43591
1591,Platte County,"5,925",5.8,82567
1592,Polk County,"4,965",16.2,45336
1593,Pulaski County,"6,350",15.2,52532
1594,Putnam County,675,14.4,40866
1595,Ralls County,923,9.1,57549
1596,Randolph County,"3,960",17.6,44975
1597,Ray County,"2,220",9.9,58693
1598,Reynolds County,"1,240",20.3,36592
1599,Ripley County,"3,116",23.5,32802
1600,St. Charles County,"22,272",5.7,82048
1601,St. Clair County,"1,669",18.2,37013
1602,Ste. Genevieve County,"1,720",9.8,59043
1603,St. Francois County,"11,341",19.0,45584
1604,St. Louis County,"102,720",10.5,66992
1605,Saline County,"3,188",14.8,43776
1606,Schuyler County,764,16.9,39463
1607,Scotland County,685,14.1,42053
1608,Scott County,"7,210",19.1,44261
1609,Shannon County,"1,829",22.6,32715
1610,Shelby County,834,14.3,44564
1611,Stoddard County,"4,238",14.8,40808
1612,Stone County,"4,204",13.4,46026
1613,Sullivan County,935,15.3,41978
1614,Taney County,"8,367",15.4,40887
1615,Texas County,"5,806",24.6,34824
1616,Vernon County,"3,387",17.2,42552
1617,Warren County,"3,606",10.5,62056
1618,Washington County,"5,145",21.7,38591
1619,Wayne County,"3,018",23.3,33703
1620,Webster County,"5,384",14.1,51141
1621,Worth County,279,14.1,43119
1622,Wright County,"4,330",23.9,35293
1623,St. Louis city,"66,858",22.8,43263
1624,Montana,"134,185",12.9,55248
1625,Beaverhead County,"1,236",13.8,47674
1626,Big Horn County,"3,375",25.6,40425
1627,Blaine County,"1,393",20.8,39237
1628,Broadwater County,617,10.3,52840
1629,Carbon County,"1,247",11.7,53661
1630,Carter County,167,13.7,47985
1631,Cascade County,"10,607",13.4,50054
1632,Chouteau County,"1,060",18.7,44645
1633,Custer County,"1,398",12.5,50525
1634,Daniels County,171,10.1,44659
1635,Dawson County,934,11.4,56167
1636,Deer Lodge County,"1,346",15.9,45641
1637,Fallon County,266,9.2,62029
1638,Fergus County,"1,313",12.2,49147
1639,Flathead County,"11,288",11.2,54382
1640,Gallatin County,"9,721",9.0,67569
1641,Garfield County,207,16.3,44580
1642,Glacier County,"3,629",27.0,37719
1643,Golden Valley County,150,18.9,38782
1644,Granite County,449,13.4,48410
1645,Hill County,"2,151",13.5,50136
1646,Jefferson County,922,7.7,68381
1647,Judith Basin County,260,13.3,50197
1648,Lake County,"5,442",18.2,44833
1649,Lewis and Clark County,"7,061",10.5,63860
1650,Liberty County,443,19.0,42742
1651,Lincoln County,"3,964",20.3,40602
1652,McCone County,235,14.2,43650
1653,Madison County,801,9.2,53031
1654,Meagher County,285,15.9,44572
1655,Mineral County,601,14.0,43458
1656,Missoula County,"14,719",12.7,56207
1657,Musselshell County,691,15.0,43371
1658,Park County,"1,744",10.5,61044
1659,Petroleum County,83,16.2,41009
1660,Phillips County,608,15.2,44730
1661,Pondera County,"1,028",17.8,42890
1662,Powder River County,205,12.2,47378
1663,Powell County,950,18.1,48966
1664,Prairie County,144,13.5,42754
1665,Ravalli County,"6,628",15.5,50055
1666,Richland County,950,8.7,67242
1667,Roosevelt County,"2,763",25.4,40179
1668,Rosebud County,"1,523",17.0,57674
1669,Sanders County,"1,871",16.0,39861
1670,Sheridan County,366,10.9,51690
1671,Silver Bow County,"5,697",16.7,47302
1672,Stillwater County,766,8.1,66226
1673,Sweet Grass County,364,10.0,52747
1674,Teton County,941,15.8,48368
1675,Toole County,640,15.1,46326
1676,Treasure County,77,11.4,50774
1677,Valley County,"1,007",13.7,48390
1678,Wheatland County,411,19.0,38449
1679,Wibaux County,121,12.0,49532
1680,Yellowstone County,"17,150",10.9,59975
1681,Nebraska,"205,393",11.0,59724
1682,Adams County,"3,558",11.8,55167
1683,Antelope County,788,12.6,55371
1684,Arthur County,60,12.9,46862
1685,Banner County,91,12.5,53865
1686,Blaine County,77,16.2,44467
1687,Boone County,470,9.2,51911
1688,Box Butte County,"1,454",13.7,57952
1689,Boyd County,264,13.9,42431
1690,Brown County,369,12.5,46191
1691,Buffalo County,"5,068",10.7,59193
1692,Burt County,688,10.8,57548
1693,Butler County,717,9.1,57208
1694,Cass County,"1,898",7.4,75177
1695,Cedar County,720,8.7,64570
1696,Chase County,370,9.5,54866
1697,Cherry County,693,12.2,49782
1698,Cheyenne County,"1,035",11.3,53132
1699,Clay County,671,11.0,56259
1700,Colfax County,"1,120",10.4,55787
1701,Cuming County,778,8.9,59219
1702,Custer County,"1,274",12.0,49995
1703,Dakota County,"2,455",12.4,55522
1704,Dawes County,"1,360",17.1,47487
1705,Dawson County,"2,824",12.1,56818
1706,Deuel County,214,11.8,47097
1707,Dixon County,544,9.7,54635
1708,Dodge County,"3,484",9.8,51682
1709,Douglas County,"64,276",11.6,64580
1710,Dundy County,245,14.0,48574
1711,Fillmore County,474,8.9,56697
1712,Franklin County,398,13.4,48778
1713,Frontier County,351,14.2,43650
1714,Furnas County,579,12.6,49685
1715,Gage County,"2,364",11.2,49931
1716,Garden County,283,15.1,39192
1717,Garfield County,253,13.1,46245
1718,Gosper County,178,9.1,59722
1719,Grant County,70,10.6,56724
1720,Greeley County,294,12.8,45221
1721,Hall County,"7,839",13.0,53792
1722,Hamilton County,593,6.5,60608
1723,Harlan County,371,11.1,49321
1724,Hayes County,148,16.2,47047
1725,Hitchcock County,424,15.3,43880
1726,Holt County,"1,210",12.1,55965
1727,Hooker County,55,8.3,46220
1728,Howard County,650,10.2,52292
1729,Jefferson County,821,11.8,47075
1730,Johnson County,563,13.8,52401
1731,Kearney County,591,9.2,64456
1732,Keith County,949,11.9,52086
1733,Keya Paha County,148,18.3,48429
1734,Kimball County,443,12.5,46986
1735,Knox County,"1,098",13.4,47906
1736,Lancaster County,"37,583",12.4,58618
1737,Lincoln County,"3,472",10.1,56803
1738,Logan County,69,9.3,55531
1739,Loup County,105,17.1,47797
1740,McPherson County,57,11.6,53207
1741,Madison County,"3,992",11.7,55226
1742,Merrick County,811,10.7,56493
1743,Morrill County,669,14.5,49151
1744,Nance County,401,11.7,47279
1745,Nemaha County,824,12.7,52069
1746,Nuckolls County,455,11.0,46954
