,Area_name,all_ages_poverty_2018,all_ages_poverty_rate_2018,median_HH_2018
1977,Lenoir County,"12,193",22.1,40433
1978,Lincoln County,"8,555",10.3,62963
1979,McDowell County,"6,802",15.4,43972
1980,Macon County,"5,700",16.3,46426
1981,Madison County,"3,502",17.0,44693
1982,Martin County,"4,571",20.3,43569
1983,Mecklenburg County,"126,098",11.7,64509
1984,Mitchell County,"2,383",16.1,43967
1985,Montgomery County,"4,379",16.7,47757
1986,Moore County,"10,263",10.5,59471
1987,Nash County,"13,024",14.2,50122
1988,New Hanover County,"34,250",15.3,53419
1989,Northampton County,"4,043",21.4,37233
1990,Onslow County,"26,562",15.1,50531
1991,Orange County,"17,045",12.4,71920
1992,Pamlico County,"1,983",16.6,46447
1993,Pasquotank County,"6,854",18.2,46355
1994,Pender County,"9,207",15.1,54900
1995,Perquimans County,"2,108",15.8,48337
1996,Person County,"5,773",14.8,50149
1997,Pitt County,"40,201",23.2,43303
1998,Polk County,"2,389",11.8,50467
1999,Randolph County,"19,631",13.8,48372
2000,Richmond County,"8,698",19.9,38514
2001,Robeson County,"31,143",24.5,35407
2002,Rockingham County,"16,003",17.9,41869
2003,Rowan County,"22,298",16.3,46864
2004,Rutherford County,"12,538",19.1,42831
2005,Sampson County,"14,243",22.8,42807
2006,Scotland County,"8,637",26.9,36730
2007,Stanly County,"7,924",13.2,51491
2008,Stokes County,"5,455",12.1,50826
2009,Surry County,"11,351",16.0,46342
2010,Swain County,"2,124",15.2,43121
2011,Transylvania County,"4,277",12.8,51398
2012,Tyrrell County,880,25.2,36765
2013,Union County,"16,361",7.0,80428
2014,Vance County,"11,585",26.3,40263
2015,Wake County,"89,819",8.4,80169
2016,Warren County,"3,750",19.8,38430
2017,Washington County,"2,470",21.1,36042
2018,Watauga County,"10,608",21.2,48489
2019,Wayne County,"24,470",20.2,41572
2020,Wilkes County,"12,712",18.9,44080
2021,Wilson County,"16,868",21.1,44015
2022,Yadkin County,"4,829",13.0,49070
2023,Yancey County,"3,153",17.8,44756
2024,North Dakota,"77,959",10.6,65250
2025,Adams County,234,10.4,53162
2026,Barnes County,"1,231",12.3,54984
2027,Benson County,"2,129",30.8,42407
2028,Billings County,82,9.0,76235
2029,Bottineau County,715,11.6,59161
2030,Bowman County,264,8.7,62270
2031,Burke County,195,9.3,63261
2032,Burleigh County,"6,798",7.4,72277
2033,Cass County,"18,270",10.4,63885
2034,Cavalier County,398,10.6,60314
2035,Dickey County,520,11.1,53286
2036,Divide County,222,10.0,58715
2037,Dunn County,443,10.4,66383
2038,Eddy County,237,10.6,51327
2039,Emmons County,431,13.3,47976
2040,Foster County,274,8.7,58096
2041,Golden Valley County,192,11.2,58075
2042,Grand Forks County,"8,681",12.9,54311
2043,Grant County,341,14.5,41295
2044,Griggs County,202,9.2,54250
2045,Hettinger County,291,12.4,51455
2046,Kidder County,355,14.5,45401
2047,LaMoure County,456,11.4,54514
2048,Logan County,239,12.9,50141
2049,McHenry County,685,11.9,54795
2050,McIntosh County,339,13.6,47288
2051,McKenzie County,"1,240",9.2,76224
2052,McLean County,867,9.2,64524
2053,Mercer County,585,7.2,82303
2054,Morton County,"2,468",8.1,68043
2055,Mountrail County,"1,055",10.4,67162
2056,Nelson County,301,10.8,50093
2057,Oliver County,198,10.2,68243
2058,Pembina County,697,10.3,58766
2059,Pierce County,447,11.6,47360
2060,Ramsey County,"1,361",12.3,54814
2061,Ransom County,440,8.7,61634
2062,Renville County,191,8.2,60205
2063,Richland County,"1,781",11.6,61174
2064,Rolette County,"3,504",24.7,42021
2065,Sargent County,296,7.8,64756
2066,Sheridan County,223,16.6,39439
2067,Sioux County,"1,408",32.9,37002
2068,Slope County,97,12.7,49843
2069,Stark County,"2,486",8.2,71888
2070,Steele County,148,7.8,66929
2071,Stutsman County,"2,203",11.4,57002
2072,Towner County,200,9.3,51848
2073,Traill County,630,8.2,59931
2074,Walsh County,"1,147",10.9,59705
2075,Ward County,"7,057",10.8,63938
2076,Wells County,442,11.4,58261
2077,Williams County,"2,265",6.5,79354
2078,Ohio,"1,568,586",13.8,56155
2079,Adams County,"5,382",19.7,42154
2080,Allen County,"13,901",14.4,50301
2081,Ashland County,"5,308",10.4,54362
2082,Ashtabula County,"16,353",17.4,46950
2083,Athens County,"17,237",30.7,40416
2084,Auglaize County,"3,132",6.9,63754
2085,Belmont County,"8,272",13.0,48989
2086,Brown County,"5,064",11.8,55334
2087,Butler County,"45,821",12.4,61053
2088,Carroll County,"3,431",12.9,50002
2089,Champaign County,"3,809",10.0,57701
2090,Clark County,"19,467",14.9,50089
2091,Clermont County,"16,745",8.2,65280
2092,Clinton County,"4,802",11.8,53947
2093,Columbiana County,"14,938",15.1,44938
2094,Coshocton County,"5,559",15.4,46420
2095,Crawford County,"5,688",14.0,44715
2096,Cuyahoga County,"217,166",17.9,50006
2097,Darke County,"4,800",9.5,53853
2098,Defiance County,"3,372",9.1,56740
2099,Delaware County,"8,271",4.1,103536
2100,Erie County,"7,769",10.6,53135
2101,Fairfield County,"14,172",9.3,67654
2102,Fayette County,"4,227",15.1,47733
2103,Franklin County,"198,207",15.5,60383
2104,Fulton County,"3,303",7.9,62800
2105,Gallia County,"6,407",22.1,43785
2106,Geauga County,"5,341",5.7,84093
2107,Greene County,"18,567",11.6,68380
2108,Guernsey County,"7,232",18.8,44623
2109,Hamilton County,"122,843",15.4,57300
2110,Hancock County,"7,370",9.9,61579
2111,Hardin County,"4,327",14.7,49580
2112,Harrison County,"2,285",15.3,50301
2113,Henry County,"2,865",10.8,57705
2114,Highland County,"6,550",15.4,49161
2115,Hocking County,"3,944",14.1,50568
2116,Holmes County,"4,054",9.4,60828
2117,Huron County,"6,376",11.1,55202
2118,Jackson County,"5,350",16.8,44726
2119,Jefferson County,"12,052",19.0,42821
2120,Knox County,"8,039",13.8,56885
2121,Lake County,"16,970",7.5,65883
2122,Lawrence County,"11,093",18.8,43031
2123,Licking County,"15,591",9.1,66145
2124,Logan County,"5,095",11.4,61699
2125,Lorain County,"42,562",14.2,59265
2126,Lucas County,"78,398",18.7,47865
2127,Madison County,"4,215",10.7,61645
2128,Mahoning County,"36,520",16.5,48010
2129,Marion County,"9,772",16.5,45419
2130,Medina County,"11,474",6.5,76475
2131,Meigs County,"4,064",17.8,44286
2132,Mercer County,"3,066",7.6,62782
2133,Miami County,"8,329",7.9,59922
2134,Monroe County,"1,917",14.1,46314
2135,Montgomery County,"87,187",16.9,51071
2136,Morgan County,"2,443",17.0,40557
2137,Morrow County,"4,106",11.9,60452
2138,Muskingum County,"13,996",16.6,49586
2139,Noble County,"2,109",18.1,48792
2140,Ottawa County,"3,807",9.5,58345
2141,Paulding County,"1,922",10.3,53876
2142,Perry County,"5,846",16.4,51534
2143,Pickaway County,"6,413",12.1,58742
2144,Pike County,"5,648",20.5,45163
2145,Portage County,"17,564",11.3,63689
2146,Preble County,"3,936",9.7,53904
2147,Putnam County,"1,835",5.5,64304
2148,Richland County,"16,416",14.4,49668
2149,Ross County,"13,099",18.4,49385
2150,Sandusky County,"5,769",10.0,53978
2151,Scioto County,"16,288",22.6,41267
2152,Seneca County,"6,372",12.1,52165
2153,Shelby County,"4,293",9.0,63398
2154,Stark County,"52,330",14.4,52310
2155,Summit County,"63,889",12.0,58890
2156,Trumbull County,"34,413",17.6,47424
2157,Tuscarawas County,"11,107",12.3,51030
2158,Union County,"2,724",5.0,84861
2159,Van Wert County,"2,344",8.4,54331
2160,Vinton County,"2,474",19.0,43457
2161,Warren County,"11,709",5.2,87391
2162,Washington County,"9,251",15.9,50904
2163,Wayne County,"10,496",9.4,59142
2164,Williams County,"3,482",9.7,54581
2165,Wood County,"14,733",11.9,64282
2166,Wyandot County,"1,723",8.0,55995
2167,Oklahoma,"593,936",15.5,51914
2168,Adair County,"5,372",24.6,35156
2169,Alfalfa County,714,15.2,52952
2170,Atoka County,"2,707",20.8,39702
2171,Beaver County,588,11.2,52550
2172,Beckham County,"3,202",16.3,47825
2173,Blaine County,"1,493",16.0,49513
2174,Bryan County,"7,604",16.6,43445
2175,Caddo County,"5,239",19.5,48533
2176,Canadian County,"10,336",7.3,70942
2177,Carter County,"8,335",17.7,48660
2178,Cherokee County,"9,862",21.0,42913
2179,Choctaw County,"3,312",23.0,35308
2180,Cimarron County,352,16.4,46777
2181,Cleveland County,"32,077",11.9,62343
2182,Coal County,"1,229",22.6,39396
2183,Comanche County,"18,303",16.7,51382
2184,Cotton County,926,16.2,43386
2185,Craig County,"2,631",19.5,43074
2186,Creek County,"9,874",14.0,54478
2187,Custer County,"5,001",18.2,49577
2188,Delaware County,"8,756",20.7,40287
2189,Dewey County,580,12.1,50728
2190,Ellis County,494,12.7,51867
2191,Garfield County,"9,001",15.2,52387
2192,Garvin County,"4,139",15.1,47858
2193,Grady County,"5,507",10.1,56489
2194,Grant County,538,12.7,49073
2195,Greer County,"1,218",26.0,37445
2196,Harmon County,612,23.9,38537
2197,Harper County,413,11.0,55112
2198,Haskell County,"2,929",23.3,37776
2199,Hughes County,"2,902",24.6,37566
2200,Jackson County,"3,704",15.3,47747
2201,Jefferson County,"1,473",24.7,37338
2202,Johnston County,"2,068",19.5,39756
2203,Kay County,"8,751",20.4,45700
2204,Kingfisher County,"1,554",9.9,59266
2205,Kiowa County,"1,448",16.9,37831
2206,Latimer County,"1,721",17.9,38284
2207,Le Flore County,"10,903",22.6,38709
2208,Lincoln County,"5,069",14.7,48039
2209,Logan County,"4,745",10.4,69114
2210,Love County,"1,466",14.6,48725
2211,McClain County,"3,592",9.1,65831
2212,McCurtain County,"6,796",21.1,37390
2213,McIntosh County,"4,649",23.9,37468
2214,Major County,816,10.8,56102
2215,Marshall County,"2,961",18.0,42258
2216,Mayes County,"6,271",15.5,50951
2217,Murray County,"2,029",14.9,50031
2218,Muskogee County,"10,094",15.6,43911
2219,Noble County,"1,431",12.9,54210
2220,Nowata County,"1,650",16.5,45734
2221,Okfuskee County,"2,890",26.1,37545
2222,Oklahoma County,"131,185",16.9,52346
2223,Okmulgee County,"7,916",21.5,42354
2224,Osage County,"6,864",15.1,48826
2225,Ottawa County,"6,210",20.6,38194
2226,Pawnee County,"2,368",14.7,46949
2227,Payne County,"16,909",22.8,47748
2228,Pittsburg County,"8,160",19.7,42376
2229,Pontotoc County,"5,600",15.3,48450
2230,Pottawatomie County,"12,181",17.6,48499
2231,Pushmataha County,"2,169",19.7,37026
2232,Roger Mills County,505,13.9,53871
2233,Rogers County,"8,855",9.8,61849
2234,Seminole County,"4,458",18.6,37901
2235,Sequoyah County,"7,636",18.8,38998
2236,Stephens County,"6,408",15.0,46512
2237,Texas County,"2,530",12.7,51812
2238,Tillman County,"1,491",21.1,41186
2239,Tulsa County,"89,706",14.1,55796
2240,Wagoner County,"7,912",10.0,62889
2241,Washington County,"6,607",13.0,53992
2242,Washita County,"1,929",17.8,47484
2243,Woods County,"1,194",15.2,51715
2244,Woodward County,"2,816",14.8,55134
2245,Oregon,"516,014",12.5,63168
2246,Baker County,"2,405",15.4,45972
2247,Benton County,"13,739",15.8,63600
2248,Clackamas County,"30,022",7.3,81061
2249,Clatsop County,"4,317",11.0,53806
2250,Columbia County,"5,302",10.2,63338
2251,Coos County,"10,005",15.9,48352
2252,Crook County,"3,049",12.9,51348
2253,Curry County,"3,381",14.9,48788
2254,Deschutes County,"17,918",9.4,67372
2255,Douglas County,"16,387",15.0,47020
2256,Gilliam County,212,11.4,54325
2257,Grant County,"1,164",16.4,46141
2258,Harney County,"1,089",15.1,43370
2259,Hood River County,"2,512",10.9,66607
2260,Jackson County,"32,137",14.8,55511
2261,Jefferson County,"3,704",16.0,50376
2262,Josephine County,"14,655",17.0,46578
2263,Klamath County,"12,310",18.5,45374
2264,Lake County,"1,360",18.3,44847
2265,Lane County,"67,217",18.1,53161
2266,Lincoln County,"6,639",13.6,49265
2267,Linn County,"15,989",12.7,54292
2268,Malheur County,"5,774",21.0,42624
2269,Marion County,"48,997",14.5,56408
2270,Morrow County,"1,744",15.4,55343
2271,Multnomah County,"95,543",12.0,70756
2272,Polk County,"10,622",12.7,62389
2273,Sherman County,237,13.9,58838
2274,Tillamook County,"3,470",13.2,52486
2275,Umatilla County,"11,557",15.8,53917
2276,Union County,"3,598",13.9,50616
2277,Wallowa County,"1,013",14.5,48137
2278,Wasco County,"3,467",13.4,52269
2279,Washington County,"51,789",8.8,82819
2280,Wheeler County,258,19.2,39579
2281,Yamhill County,"12,433",12.2,61776
2282,Pennsylvania,"1,517,936",12.2,60891
2283,Adams County,"7,919",8.0,62877
2284,Allegheny County,"138,397",11.7,59881
2285,Armstrong County,"5,917",9.2,49436
2286,Beaver County,"18,061",11.2,54823
2287,Bedford County,"5,007",10.5,50257
2288,Berks County,"46,762",11.4,62519
2289,Blair County,"17,156",14.4,49244
2290,Bradford County,"7,495",12.5,50978
2291,Bucks County,"35,350",5.7,88538
2292,Butler County,"15,883",8.7,67161
2293,Cambria County,"18,520",14.7,45163
2294,Cameron County,614,13.9,41770
2295,Carbon County,"7,522",11.9,53901
2296,Centre County,"25,901",18.1,58258
2297,Chester County,"34,311",6.7,99224
2298,Clarion County,"5,646",15.3,46284
2299,Clearfield County,"11,323",15.4,46706
2300,Clinton County,"4,506",12.3,50999
2301,Columbia County,"7,553",12.3,50774
2302,Crawford County,"10,880",13.4,50805
2303,Cumberland County,"17,469",7.3,71695
2304,Dauphin County,"35,730",13.2,57979
2305,Delaware County,"47,800",8.8,71961
2306,Elk County,"2,742",9.2,54876
2307,Erie County,"39,839",15.3,48453
2308,Fayette County,"18,475",14.6,50381
2309,Forest County,"1,113",24.0,41750
2310,Franklin County,"16,759",11.0,60744
2311,Fulton County,"1,645",11.5,52277
2312,Greene County,"5,334",15.9,50956
2313,Huntingdon County,"5,498",13.7,49019
2314,Indiana County,"12,356",15.5,47999
2315,Jefferson County,"6,166",14.4,46751
2316,Juniata County,"2,277",9.4,54342
2317,Lackawanna County,"28,929",14.2,52872
2318,Lancaster County,"42,131",7.9,66270
2319,Lawrence County,"13,319",15.8,48418
2320,Lebanon County,"13,802",10.0,61087
2321,Lehigh County,"42,991",12.0,62139
2322,Luzerne County,"43,839",14.3,53469
2323,Lycoming County,"14,054",13.0,53820
2324,Mc Kean County,"6,374",16.8,46529
2325,Mercer County,"15,985",15.3,48788
2326,Mifflin County,"6,867",15.1,47648
2327,Monroe County,"20,202",12.3,63318
2328,Montgomery County,"47,317",5.9,90155
2329,Montour County,"1,771",10.1,61314
2330,Northampton County,"29,917",10.2,68217
2331,Northumberland County,"11,552",13.3,47243
2332,Perry County,"4,438",9.8,62366
2333,Philadelphia County,"372,322",24.3,46149
2334,Pike County,"5,690",10.3,62657
2335,Potter County,"2,413",14.8,44883
2336,Schuylkill County,"17,574",13.0,48809
2337,Snyder County,"4,052",10.7,56991
2338,Somerset County,"8,289",12.0,50504
2339,Sullivan County,847,14.3,48998
2340,Susquehanna County,"5,128",12.8,52573
2341,Tioga County,"5,894",15.0,48799
2342,Union County,"4,575",12.6,55679
2343,Venango County,"7,537",15.0,45761
2344,Warren County,"4,316",11.2,50554
2345,Washington County,"18,274",9.0,63119
2346,Wayne County,"6,163",13.0,53602
2347,Westmoreland County,"31,749",9.2,58398
2348,Wyoming County,"3,116",11.8,57599
2349,York County,"38,582",8.8,65238
2350,Rhode Island,"130,538",12.8,63787
2351,Bristol County,"3,557",7.7,80231
2352,Kent County,"12,620",7.8,69089
2353,Newport County,"6,423",8.1,77760
2354,Providence County,"98,431",16.1,56141
2355,Washington County,"9,507",8.0,86715
2356,South Carolina,"750,582",15.2,52449
2357,Abbeville County,"4,545",19.1,42412
2358,Aiken County,"25,095",15.0,52633
2359,Allendale County,"2,901",37.3,29124
2360,Anderson County,"28,843",14.6,51740
2361,Bamberg County,"3,605",26.7,36230
2362,Barnwell County,"4,661",22.4,38131
2363,Beaufort County,"19,881",10.9,65843
2364,Berkeley County,"27,687",12.8,62204
2365,Calhoun County,"2,647",18.4,45385
2366,Charleston County,"55,971",14.2,62958
2367,Cherokee County,"9,394",16.8,42542
2368,Chester County,"5,830",18.2,42116
2369,Chesterfield County,"9,453",20.9,39046
2370,Clarendon County,"8,520",26.4,36722
2371,Colleton County,"7,440",20.0,39079
2372,Darlington County,"15,356",23.5,37206
2373,Dillon County,"9,648",32.1,33159
2374,Dorchester County,"17,466",11.0,65468
2375,Edgefield County,"4,489",18.5,48818
2376,Fairfield County,"5,219",23.7,39522
2377,Florence County,"24,375",18.0,47949
2378,Georgetown County,"12,064",19.6,46058
2379,Greenville County,"55,837",11.1,61162
2380,Greenwood County,"12,455",18.3,43879
2381,Hampton County,"4,637",25.8,35871
2382,Horry County,"48,595",14.3,49082
2383,Jasper County,"5,263",19.0,43125
2384,Kershaw County,"9,431",14.5,52270
2385,Lancaster County,"12,446",13.3,58035
2386,Laurens County,"12,768",19.7,42099
2387,Lee County,"4,376",28.1,33199
2388,Lexington County,"36,432",12.5,60627
2389,McCormick County,"1,564",18.6,44683
2390,Marion County,"7,841",25.5,34365
2391,Marlboro County,"7,104",30.0,33534
2392,Newberry County,"6,362",17.1,48029
2393,Oconee County,"11,159",14.4,50529
2394,Orangeburg County,"21,733",25.9,37134
2395,Pickens County,"19,471",16.6,48794
2396,Richland County,"64,210",16.7,52611
2397,Saluda County,"3,017",14.9,46019
2398,Spartanburg County,"41,706",13.6,53567
2399,Sumter County,"19,418",18.7,45181
2400,Union County,"5,485",20.4,40686
2401,Williamsburg County,"7,726",26.0,32814
2402,York County,"26,453",9.8,64904
2403,South Dakota,"109,814",12.9,57041
2404,Aurora County,276,10.2,53107
2405,Beadle County,"2,387",12.9,49712
2406,Bennett County,"1,115",32.5,37071
2407,Bon Homme County,866,15.7,50278
2408,Brookings County,"3,744",11.8,62109
2409,Brown County,"4,195",11.0,60082
2410,Brule County,807,15.8,49732
2411,Buffalo County,925,45.7,25973
2412,Butte County,"1,442",14.3,44388
2413,Campbell County,149,10.9,45737
2414,Charles Mix County,"1,857",20.9,47412
2415,Clark County,440,12.6,48517
2416,Clay County,"2,314",19.5,46378
2417,Codington County,"3,115",11.3,55580
2418,Corson County,"1,394",33.6,34024
2419,Custer County,853,10.1,58806
2420,Davison County,"2,290",12.0,51724
2421,Day County,820,15.3,48023
2422,Deuel County,390,9.1,55404
2423,Dewey County,"1,514",25.8,41942
2424,Douglas County,340,12.1,55159
2425,Edmunds County,421,11.5,58977
2426,Fall River County,850,13.0,46782
2427,Faulk County,332,15.6,49068
2428,Grant County,707,9.9,59813
2429,Gregory County,686,16.5,40583
2430,Haakon County,208,11.0,51801
2431,Hamlin County,549,9.3,65776
2432,Hand County,314,9.8,52568
2433,Hanson County,280,8.8,63772
2434,Harding County,131,10.7,55017
2435,Hughes County,"1,590",9.4,70093
2436,Hutchinson County,784,11.5,54434
2437,Hyde County,128,10.3,52496
2438,Jackson County,"1,070",32.7,34122
2439,Jerauld County,280,14.5,47689
2440,Jones County,122,13.2,49609
2441,Kingsbury County,432,9.0,54609
2442,Lake County,"1,258",10.2,60733
2443,Lawrence County,"3,155",12.7,51774
2444,Lincoln County,"2,585",4.4,84889
2445,Lyman County,794,21.1,47429
2446,McCook County,514,9.6,59913
2447,McPherson County,379,17.1,39850
2448,Marshall County,587,12.0,56862
2449,Meade County,"2,309",8.4,59524
2450,Mellette County,699,35.2,32780
2451,Miner County,247,11.5,50123
2452,Minnehaha County,"18,035",9.6,60033
2453,Moody County,644,9.9,57392
2454,Oglala Lakota County,"7,688",54.0,31662
2455,Pennington County,"14,567",13.3,58738
2456,Perkins County,394,13.7,55626
2457,Potter County,217,10.2,54722
2458,Roberts County,"2,173",21.3,44709
2459,Sanborn County,299,12.9,54874
2460,Spink County,781,12.6,50590
2461,Stanley County,235,7.8,69991
2462,Sully County,123,8.8,59457
2463,Todd County,"4,955",48.4,31876
2464,Tripp County,"1,061",19.9,45710
2465,Turner County,775,9.4,62792
2466,Union County,915,5.9,80698
2467,Walworth County,812,15.0,48394
2468,Yankton County,"2,296",11.0,56535
2469,Ziebach County,"1,201",43.9,32341
2470,Tennessee,"1,003,055",15.2,52366
2471,Anderson County,"12,433",16.5,50672
2472,Bedford County,"6,955",14.4,49860
2473,Benton County,"3,068",19.2,38940
2474,Bledsoe County,"3,235",26.7,40195
2475,Blount County,"12,816",9.9,57939
2476,Bradley County,"15,216",14.7,50427
2477,Campbell County,"8,392",21.6,39443
2478,Cannon County,"2,022",14.2,51859
2479,Carroll County,"4,963",18.6,42025
2480,Carter County,"10,530",19.1,39202
2481,Cheatham County,"4,122",10.3,63241
2482,Chester County,"2,555",15.9,47508
2483,Claiborne County,"7,129",23.4,37987
2484,Clay County,"1,601",21.0,34238
2485,Cocke County,"7,981",22.5,36192
2486,Coffee County,"8,745",15.9,49494
2487,Crockett County,"2,736",19.4,44431
2488,Cumberland County,"8,494",14.4,46527
2489,Davidson County,"102,623",15.4,60799
2490,Decatur County,"2,083",18.2,42905
2491,DeKalb County,"3,435",17.4,47420
2492,Dickson County,"7,259",13.8,56166
2493,Dyer County,"6,735",18.4,44302
2494,Fayette County,"5,227",13.1,59529
2495,Fentress County,"3,701",20.6,36687
2496,Franklin County,"6,335",16.0,50201
2497,Gibson County,"7,904",16.5,42720
2498,Giles County,"4,160",14.5,48024
2499,Grainger County,"4,211",18.4,41829
2500,Greene County,"10,146",15.1,44366
2501,Grundy County,"2,787",21.2,36317
2502,Hamblen County,"10,883",17.1,44040
2503,Hamilton County,"46,021",13.0,57196
2504,Hancock County,"1,912",29.9,30691
2505,Hardeman County,"5,025",23.5,37834
2506,Hardin County,"5,149",20.3,37690
2507,Hawkins County,"10,252",18.4,42188
2508,Haywood County,"3,513",20.5,39574
2509,Henderson County,"4,957",18.0,43491
2510,Henry County,"5,982",18.8,43159
2511,Hickman County,"3,827",16.3,44684
2512,Houston County,"1,349",16.7,44688
2513,Humphreys County,"2,477",13.6,48056
2514,Jackson County,"2,286",19.8,37563
2515,Jefferson County,"7,241",13.8,49611
2516,Johnson County,"3,308",20.7,35778
2517,Knox County,"59,817",13.2,55874
2518,Lake County,"1,795",36.5,33709
2519,Lauderdale County,"5,907",24.9,38849
2520,Lawrence County,"7,643",17.7,43651
2521,Lewis County,"2,074",17.5,40541
2522,Lincoln County,"4,853",14.4,51249
2523,Loudon County,"4,754",9.1,58186
2524,McMinn County,"8,307",15.9,46029
2525,McNairy County,"4,408",17.4,39859
2526,Macon County,"4,309",18.1,42265
2527,Madison County,"16,631",17.8,46651
2528,Marion County,"4,337",15.3,50819
2529,Marshall County,"4,702",14.1,51868
2530,Maury County,"10,032",10.8,57337
2531,Meigs County,"2,153",17.8,50565
2532,Monroe County,"7,151",15.7,45566
2533,Montgomery County,"24,251",12.0,56102
2534,Moore County,575,9.1,58234
2535,Morgan County,"3,919",20.4,40397
2536,Obion County,"5,267",17.7,42532
2537,Overton County,"3,251",15.0,42149
2538,Perry County,"1,390",17.6,41960
2539,Pickett County,797,16.0,40182
2540,Polk County,"2,623",15.8,41968
2541,Putnam County,"10,996",14.5,45512
2542,Rhea County,"5,886",18.4,44132
2543,Roane County,"7,779",14.8,54440
2544,Robertson County,"7,414",10.6,66006
2545,Rutherford County,"33,172",10.4,64170
2546,Scott County,"4,591",21.2,35685
2547,Sequatchie County,"2,339",16.0,49707
2548,Sevier County,"13,466",13.9,47202
2549,Shelby County,"198,554",21.7,47924
2550,Smith County,"2,739",13.9,50704
2551,Stewart County,"1,867",13.9,46565
2552,Sullivan County,"25,549",16.5,46024
2553,Sumner County,"16,426",8.9,66171
2554,Tipton County,"7,240",12.0,60874
2555,Trousdale County,"1,570",18.6,49280
2556,Unicoi County,"2,797",16.1,43688
2557,Union County,"3,858",19.8,40322
2558,Van Buren County,918,16.3,38265
2559,Warren County,"9,025",22.5,42475
2560,Washington County,"18,528",14.9,49242
2561,Wayne County,"3,066",21.3,38879
2562,Weakley County,"6,252",19.7,42351
2563,White County,"4,612",17.3,42603
2564,Williamson County,"8,794",3.8,115930
2565,Wilson County,"10,888",7.8,76507
2566,Texas,"4,181,623",14.9,60632
2567,Anderson County,"8,778",19.8,45969
2568,Andrews County,"1,922",10.7,84946
2569,Angelina County,"15,052",17.9,46653
2570,Aransas County,"4,642",19.9,46912
2571,Archer County,922,10.6,61190
2572,Armstrong County,197,10.7,57210
2573,Atascosa County,"7,803",15.7,50594
2574,Austin County,"3,031",10.2,59942
2575,Bailey County,"1,087",15.8,45051
2576,Bandera County,"3,016",13.4,53008
2577,Bastrop County,"10,673",12.6,61883
2578,Baylor County,563,16.1,41180
2579,Bee County,"6,607",26.7,41806
2580,Bell County,"44,865",13.0,54292
2581,Bexar County,"334,215",17.2,54210
2582,Blanco County,"1,176",10.1,64832
2583,Borden County,65,10.0,66101
2584,Bosque County,"2,721",14.9,48460
2585,Bowie County,"16,794",19.1,47339
2586,Brazoria County,"36,342",10.1,74225
2587,Brazos County,"49,310",23.2,50113
2588,Brewster County,"1,475",16.0,45670
2589,Briscoe County,245,16.2,44409
2590,Brooks County,"2,183",31.0,30116
2591,Brown County,"4,778",13.2,47097
2592,Burleson County,"2,686",14.8,53626
2593,Burnet County,"5,099",11.0,56696
2594,Caldwell County,"5,850",14.1,52588
2595,Calhoun County,"3,036",14.2,52085
2596,Callahan County,"1,661",12.0,50330
2597,Cameron County,"117,193",27.9,38106
2598,Camp County,"2,431",18.8,43714
2599,Carson County,536,8.9,64799
2600,Cass County,"6,059",20.4,44154
2601,Castro County,"1,328",17.5,45689
2602,Chambers County,"3,593",8.5,89513
2603,Cherokee County,"8,623",17.4,43483
2604,Childress County,"1,180",21.2,42291
2605,Clay County,"1,125",10.9,58356
2606,Cochran County,609,21.9,42873
2607,Coke County,469,14.1,44804
2608,Coleman County,"1,604",19.3,39484
2609,Collin County,"64,180",6.4,96936
2610,Collingsworth County,502,17.3,39536
2611,Colorado County,"2,845",13.7,48258
2612,Comal County,"10,498",7.1,76523
2613,Comanche County,"2,180",16.4,52251
2614,Concho County,702,26.6,40987
2615,Cooke County,"5,914",14.8,52047
2616,Coryell County,"9,407",15.0,48099
2617,Cottle County,293,21.2,38304
2618,Crane County,475,10.1,61987
2619,Crockett County,529,15.3,49117
2620,Crosby County,"1,349",23.7,37911
2621,Culberson County,444,20.3,42164
2622,Dallam County,867,12.1,50587
2623,Dallas County,"368,310",14.2,59838
2624,Dawson County,"2,575",22.9,43726
2625,Deaf Smith County,"3,232",17.5,44230
2626,Delta County,908,17.2,44410
2627,Denton County,"62,151",7.3,88384
2628,DeWitt County,"3,370",18.4,49208
2629,Dickens County,390,20.3,39627
2630,Dimmit County,"2,508",24.6,37177
2631,Donley County,574,18.6,40945
2632,Duval County,"2,684",25.5,35156
2633,Eastland County,"3,269",18.7,44773
2634,Ector County,"20,485",12.9,60431
2635,Edwards County,425,22.1,37812
2636,Ellis County,"15,609",8.8,76792
2637,El Paso County,"169,120",20.5,43948
2638,Erath County,"6,988",18.1,47087
2639,Falls County,"3,331",21.7,37428
2640,Fannin County,"4,466",13.8,53111
2641,Fayette County,"3,322",13.3,55776
2642,Fisher County,592,15.5,45261
2643,Floyd County,"1,218",21.0,39891
2644,Foard County,210,18.0,37648
2645,Fort Bend County,"61,455",7.9,92310
2646,Franklin County,"1,615",15.2,48222
2647,Freestone County,"2,493",13.7,49317
2648,Frio County,"4,511",27.5,41038
2649,Gaines County,"3,198",15.4,56321
2650,Galveston County,"40,109",12.1,71959
2651,Garza County,"1,096",24.6,46490
2652,Gillespie County,"2,527",9.6,61433
2653,Glasscock County,134,9.7,83330
2654,Goliad County,"1,077",14.4,55008
2655,Gonzales County,"3,465",16.9,49829
2656,Gray County,"3,352",16.7,49121
2657,Grayson County,"16,116",12.3,51403
