,zipcode,<20,20-29,30-39,40-49,50-59,60-69,70-79,80+,White,Black,Left Blank,Other,Asian,Hispanic,NH/PI*,AI/AN**,Male,Female,Unknown/Left Blank
212,60551,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
213,60554,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
214,60555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
215,60558,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,7,0,0
216,60559,0,8,0,7,8,11,9,0,23,6,17,0,0,0,0,0,19,31,0
217,60560,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9,8,0
218,60561,0,0,6,6,7,9,11,0,15,0,11,0,0,0,0,0,22,20,0
219,60563,0,0,0,10,7,6,0,0,18,0,8,0,0,0,0,0,12,23,0
220,60564,0,0,0,8,9,8,0,8,19,0,13,0,0,0,0,0,23,21,0
221,60565,0,0,0,7,7,12,11,8,35,0,0,0,7,0,0,0,29,24,0
222,60585,0,0,0,0,12,0,0,0,13,0,8,0,0,0,0,0,12,17,0
223,60586,0,9,12,29,16,8,0,0,23,17,24,0,0,12,0,0,42,38,0
224,60601,0,11,8,0,0,0,0,0,13,7,8,0,0,0,0,0,19,14,0
225,60605,0,9,24,6,7,8,0,0,20,7,21,0,7,0,0,0,31,26,0
226,60606,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,7,0
227,60607,0,18,31,16,25,30,6,0,28,26,66,0,6,0,0,0,49,39,46
228,60608,7,48,50,58,52,32,21,8,37,80,49,7,0,98,0,0,174,94,8
229,60609,8,24,29,36,35,24,21,9,22,51,40,6,0,63,0,0,79,101,6
230,60610,0,25,17,16,12,18,0,0,36,26,21,0,6,0,0,0,44,51,0
231,60611,0,10,17,6,14,0,8,0,34,0,15,0,8,0,0,0,33,31,0
232,60612,0,37,43,40,49,39,15,0,18,121,76,0,0,7,0,0,117,108,0
233,60613,0,27,29,18,24,25,9,8,63,15,37,11,0,11,0,0,78,60,0
234,60614,0,42,24,24,19,18,20,18,81,20,42,0,0,14,0,0,69,91,7
235,60615,0,14,24,24,32,29,7,11,7,93,37,0,0,0,0,0,67,75,0
236,60616,0,8,29,23,25,32,19,12,11,79,32,0,23,0,0,0,75,75,0
237,60617,0,25,41,55,61,53,35,28,9,171,76,7,0,35,0,0,148,149,0
238,60618,9,38,38,54,41,19,12,7,59,8,56,15,11,68,0,0,121,96,0
239,60619,7,17,35,60,78,74,26,38,0,269,55,0,0,0,0,0,115,214,6
240,60620,0,28,49,69,81,69,57,42,0,251,139,0,0,0,0,0,166,226,0
241,60621,6,19,23,18,33,25,19,9,0,111,33,0,0,0,0,0,62,89,0
242,60622,0,31,50,18,22,15,13,17,46,23,43,11,0,40,0,0,79,86,0
243,60623,7,44,60,52,73,43,25,11,9,118,73,16,0,98,0,0,169,142,0
244,60624,6,25,38,49,48,32,17,13,0,172,40,0,0,8,0,0,97,128,0
245,60625,9,35,41,47,44,24,10,15,42,8,66,21,26,59,0,0,123,101,0
246,60626,0,31,26,19,37,27,19,11,37,39,34,15,8,39,0,0,83,87,0
247,60628,0,20,29,58,71,42,59,31,0,210,93,0,0,0,0,0,147,166,0
248,60629,0,47,53,73,65,45,19,13,32,73,102,13,0,95,0,0,161,155,0
249,60630,0,18,18,29,31,19,10,6,31,0,58,9,10,21,0,0,72,60,0
250,60631,0,12,7,25,18,10,6,0,29,0,43,0,0,0,0,0,55,28,0
251,60632,0,39,34,52,45,22,10,7,32,0,52,14,0,108,0,0,112,98,0
252,60633,0,0,0,7,11,0,0,0,0,22,7,0,0,0,0,0,13,20,0
253,60634,0,22,45,59,51,45,21,0,46,0,110,17,7,67,0,0,124,125,0
254,60636,0,14,31,32,32,24,29,17,0,127,40,0,0,11,0,0,83,98,0
255,60637,0,24,35,34,35,20,20,15,7,135,40,0,0,0,0,0,91,92,0
256,60638,0,23,30,41,39,12,12,10,45,12,71,7,0,32,0,0,82,80,0
257,60639,7,36,68,66,54,38,26,11,21,45,120,10,0,110,0,0,153,151,0
258,60640,0,17,31,27,30,31,19,13,55,26,44,12,17,17,0,0,104,67,0
259,60641,6,18,34,43,37,34,12,0,24,7,86,11,0,57,0,0,94,90,0
