,zipcode,<20,20-29,30-39,40-49,50-59,60-69,70-79,80+,White,Black,Left Blank,Other,Asian,Hispanic,NH/PI*,AI/AN**,Male,Female,Unknown/Left Blank
80,60140,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,8,0
81,60142,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,9,0
82,60143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0
83,60148,0,11,13,11,13,10,11,6,27,13,13,6,6,12,0,0,34,43,0
84,60153,0,10,16,19,20,15,11,6,0,70,10,8,0,9,0,0,46,53,0
85,60154,0,0,0,9,8,15,18,9,15,32,7,0,0,0,0,0,25,37,0
86,60155,0,0,0,0,7,8,0,0,0,17,6,0,0,0,0,0,10,18,0
87,60156,0,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,11,8,0
88,60160,0,8,12,13,17,11,6,6,31,0,16,0,0,18,0,0,32,42,0
89,60162,0,0,6,0,8,8,0,0,7,15,6,0,0,0,0,0,20,15,0
90,60163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
91,60164,0,0,10,12,14,9,0,0,20,0,10,0,0,19,0,0,30,24,0
92,60165,0,0,6,0,0,0,0,0,0,0,8,0,0,8,0,0,9,14,0
93,60169,0,0,6,0,8,0,0,0,8,0,9,0,0,0,0,0,16,13,0
94,60171,0,0,0,0,9,6,0,0,13,0,8,0,0,0,0,0,13,14,0
95,60172,0,0,9,0,0,0,0,0,11,0,6,0,0,0,0,0,11,14,0
96,60173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,60174,0,6,0,0,0,0,0,0,8,0,0,0,0,6,0,0,12,6,0
98,60175,0,0,0,0,7,0,0,0,15,0,6,0,0,0,0,0,10,13,0
99,60176,0,0,0,0,8,0,0,0,9,0,0,0,0,0,0,0,11,7,0
100,60177,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,6,0
101,60178,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
102,60181,0,8,8,13,12,12,7,0,22,0,6,9,0,20,0,0,24,39,0
103,60185,0,6,7,0,10,9,6,0,11,0,12,0,0,18,0,0,20,27,0
104,60187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
105,60188,0,11,6,10,7,7,14,24,26,0,27,0,11,10,0,0,40,42,0
106,60189,0,11,0,0,8,0,0,0,13,0,7,0,0,0,0,0,11,16,0
107,60190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
108,60191,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,7,0
109,60192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
110,60193,0,0,11,6,7,8,0,7,13,0,17,0,0,0,0,0,22,23,0
111,60194,0,0,0,0,0,6,0,0,9,0,6,0,0,0,0,0,12,11,0
112,60201,0,14,19,13,11,11,9,15,39,27,9,10,0,8,0,0,47,50,0
113,60202,0,12,16,16,17,19,6,0,17,27,10,10,0,22,0,0,41,46,0
114,60203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
115,60301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
116,60302,0,0,9,10,16,12,9,10,20,29,12,0,0,6,0,0,35,36,0
117,60304,0,0,8,0,0,6,0,0,10,10,0,0,0,0,0,0,11,15,0
118,60305,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,8,0
119,60401,0,0,0,6,0,0,0,0,10,0,0,0,0,0,0,0,9,10,0
120,60402,0,24,30,41,37,22,16,11,54,22,33,23,0,47,0,0,88,93,0
121,60403,0,0,12,12,7,9,0,0,12,16,14,0,0,0,0,0,33,17,0
122,60404,0,6,6,6,0,0,0,0,14,0,11,0,0,0,0,0,19,14,0
123,60406,0,0,12,6,17,12,6,7,0,24,25,0,0,12,0,0,31,35,0
124,60409,0,12,26,32,31,31,15,6,0,99,40,0,0,6,0,0,63,91,0
125,60410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
126,60411,0,18,30,42,45,29,37,16,31,130,43,0,0,15,0,0,89,131,0
127,60415,0,0,0,0,0,9,6,15,15,14,15,0,0,0,0,0,22,23,0
128,60417,0,0,0,10,9,8,8,0,14,18,15,0,0,0,0,0,27,21,0
129,60418,0,0,0,0,0,8,0,0,11,0,10,0,0,0,0,0,12,13,0
130,60419,0,10,17,18,22,22,13,6,0,81,25,0,0,0,0,0,43,66,0
131,60422,0,0,0,10,12,6,0,8,7,29,7,0,0,0,0,0,21,22,0
132,60423,0,0,6,8,13,11,8,6,19,0,29,0,0,0,0,0,33,22,0
133,60425,0,0,6,9,15,7,0,0,0,29,9,0,0,0,0,0,17,25,0
134,60426,0,12,19,15,19,18,16,0,0,72,20,0,0,9,0,0,41,61,0
135,60428,0,0,9,14,16,12,0,0,0,48,14,0,0,0,0,0,20,45,0
136,60429,0,6,7,11,17,20,9,10,8,59,10,0,0,0,0,0,37,44,0
137,60430,0,0,8,16,20,7,19,8,20,41,18,0,0,0,0,0,35,46,0
138,60431,0,6,16,22,9,6,0,0,19,11,22,0,0,7,0,0,25,39,0
139,60432,0,0,8,13,11,0,0,0,0,9,25,0,0,8,0,0,17,27,0
